requirement,test_id,status
FE-1,tests/unit/test_frontend.py::TestGrammar::test_numeric_literals,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_parentheses,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_power_operators,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_precedence,passed
FE-1,tests/unit/test_frontend.py::TestGrammar::test_unary_minus_and_transpose,passed
FE-2,tests/unit/test_frontend.py::TestDefUse::test_def_use_links_across_statements,passed
FE-2,tests/unit/test_frontend.py::TestDefUse::test_feedback_ii_through_divider,passed
FE-2,tests/unit/test_frontend.py::TestDefUse::test_loop_feedback,passed
FE-2,tests/unit/test_frontend.py::TestDefUse::test_self_reference_detected,passed
FE-3,tests/unit/test_frontend.py::TestSkipAndReport::test_comparison_operator_skipped,passed
FE-3,tests/unit/test_frontend.py::TestSkipAndReport::test_string_statement_skipped,passed
FE-3,tests/unit/test_frontend.py::TestSkipAndReport::test_unparseable_statement_skipped_with_line_and_reason,passed
FE-3,tests/unit/test_frontend.py::TestSkipAndReport::test_unsupported_constructs_reported,passed
FE-4,tests/unit/test_frontend.py::TestSpans::test_dag_nodes_carry_spans,passed
FE-4,tests/unit/test_frontend.py::TestSpans::test_expression_spans_cover_source_text,passed
FE-4,tests/unit/test_frontend.py::TestSpans::test_statement_span,passed
FE-5,tests/unit/test_frontend.py::TestDefUse::test_loop_feedback,passed
FN-1,tests/integration/test_streaming_e2e.py::test_local_functions_survive_the_whole_loop,passed
FV-1,tests/unit/test_formal.py::test_formal_project_generation,passed
FV-2,tests/unit/test_formal.py::test_missing_tools_disable_formal,passed
FX-1,tests/unit/test_fxp_ops.py::TestFxType::test_fx_wrapper,passed
FX-1,tests/unit/test_fxp_ops.py::TestFxType::test_round_trip_exact_values,passed
FX-1,tests/unit/test_fxp_ops.py::TestFxType::test_tofixed_rounds_to_nearest,passed
FX-2,tests/unit/test_fxp_ops.py::TestSmul::test_smul_commutes,passed
FX-2,tests/unit/test_fxp_ops.py::TestSmul::test_smul_is_floored_full_product,passed
FX-3,tests/unit/test_fxp_evaluator.py::TestEvaluateFixed::test_division_pipeline_bit_exact,passed
FX-3,tests/unit/test_fxp_evaluator.py::TestEvaluateFixed::test_every_intermediate_returned,passed
FX-3,tests/unit/test_fxp_evaluator.py::TestEvaluateFixed::test_missing_input_is_clear_error,passed
FX-3,tests/unit/test_fxp_evaluator.py::TestEvaluateFixed::test_raw_int_inputs_accepted,passed
FX-3,tests/unit/test_fxp_evaluator.py::TestEvaluateFixed::test_vector_norm_pipeline,passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = -a;-0.001],passed
FX-4,"tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = [a, b];-0.001]",passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a + b;-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a - b;-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a .* b;-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a ./ c;-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a \\ c;-0.005],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a ^ 2;-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a ^ 3;-0.002],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = a';-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = abs(b);-0.001],passed
FX-4,"tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = cross(u, v);-0.002]",passed
FX-4,"tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = dot(u, v);-0.002]",passed
FX-4,"tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = max(a, b);-0.001]",passed
FX-4,"tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = min(a, b);-0.001]",passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = norm(u);-0.002],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = sqrt(c);-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = sumsqr(u);-0.002],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = u + v;-0.001],passed
FX-4,tests/unit/test_fxp_coverage.py::test_fixed_tracks_float_reference[y = u .* v;-0.001],passed
FX-4,tests/unit/test_fxp_evaluator.py::TestFloatReference::test_compare_outputs_reports_stats,passed
FX-4,tests/unit/test_fxp_evaluator.py::TestFloatReference::test_error_stats_metrics,passed
FX-4,tests/unit/test_fxp_evaluator.py::TestFloatReference::test_float_eval_matches_math,passed
FX-4,tests/unit/test_fxp_evaluator.py::TestFloatReference::test_infinite_reference_excluded,passed
FX-5,tests/unit/test_fxp_ops.py::TestSdiv::test_divide_by_zero_is_hardware_faithful,passed
FX-5,tests/unit/test_fxp_ops.py::TestSdiv::test_sdiv_truncates_toward_zero,passed
FX-5,tests/unit/test_fxp_ops.py::TestSdiv::test_sinv_matches_sdiv_of_one,passed
FX-5,tests/unit/test_fxp_ops.py::TestSnorm::test_snorm_round_trip_within_precision,passed
FX-5,tests/unit/test_fxp_ops.py::TestSnorm::test_snorm_scale_down_floors,passed
FX-5,tests/unit/test_fxp_ops.py::TestUsqrt::test_usqrt_equals_isqrt_of_prescaled,passed
FX-5,tests/unit/test_fxp_ops.py::TestUsqrt::test_usqrt_monotone,passed
FX-5,tests/unit/test_fxp_ops.py::TestWrapConsistency::test_abs_nonnegative_or_wrapped_min,passed
FX-5,tests/unit/test_fxp_ops.py::TestWrapConsistency::test_add_sub_wrap,passed
FX-5,tests/unit/test_fxp_ops.py::TestWrapConsistency::test_neg_involution,passed
MO-1,tests/gui/test_motion.py::test_critical_path_emphasized_statically,passed
MO-2,tests/gui/test_motion.py::test_view_switch_is_instant_and_safe,passed
MO-3,tests/gui/test_motion.py::test_adopt_config_updates_chip,passed
MP-1,tests/gui/test_mapping_view.py::test_loads_m_sv_mat_software_side_by_side,passed
MP-2,tests/gui/test_mapping_view.py::test_user_link_unlink_mark_unmapped,passed
MP-2,tests/unit/test_cli.py::test_cli_map_propose_confirm_show,passed
MP-2,tests/unit/test_mapping_propose.py::test_proposals_are_never_pre_confirmed,passed
MP-2,tests/unit/test_mapping_propose.py::test_variable_confidence_tiers,passed
MP-3,tests/gui/test_mapping_view.py::test_operation_grouping_in_gui,passed
MP-3,tests/unit/test_mapping_groups.py::test_group_latency_validated_against_matlab_op,passed
MP-3,tests/unit/test_mapping_groups.py::test_manual_one_to_many_group,passed
MP-3,tests/unit/test_mapping_groups.py::test_no_automatic_operation_matching,passed
MP-3,tests/unit/test_mapping_groups.py::test_structurally_impossible_group_warned,passed
MP-4,tests/gui/test_mapping_view.py::test_coverage_meter_unmapped_instances_and_ops,passed
MP-5,tests/unit/test_mapping_staleness.py::test_reconfirmation_clears_dangling,passed
MP-5,tests/unit/test_mapping_staleness.py::test_source_change_flags_dangling_mappings,passed
MP-6,tests/gui/test_mapping_view.py::test_sidecar_save_load_roundtrip_in_gui,passed
MP-6,tests/integration/test_map_consumed_downstream.py::test_confirming_promotes_a_proposal_to_authoritative,passed
MP-6,tests/integration/test_map_consumed_downstream.py::test_reconcile_oracle_bisect_read_confirmed_map,passed
MP-6,tests/unit/test_mapping_persist.py::test_missing_sidecar_is_empty_map,passed
MP-6,tests/unit/test_mapping_persist.py::test_sidecar_roundtrip_human_readable,passed
MX-1,tests/integration/test_engineer_workflow_e2e.py::test_mixed_precision_module_bit_exact,passed
NF-1,tests/unit/test_perf.py::test_audit_500_statements_under_one_second,passed
NF-2,tests/unit/test_perf.py::test_golden_model_throughput,passed
NF-3,tests/gui/test_main_window.py::test_cold_start_under_two_seconds,passed
NF-4,tests/gui/test_main_window.py::test_malformed_input_never_crashes,passed
NF-4,tests/gui/test_main_window.py::test_problem_shows_toast_not_dialog,passed
NF-4,tests/gui/test_ux.py::test_problem_toast_click_opens_console,passed
RP-1,tests/gui/test_ux.py::test_ranges_view_propagates_and_flags,passed
RP-1,tests/unit/test_ranges.py::TestPropagate::test_missing_input_range_is_error,passed
RP-1,tests/unit/test_ranges.py::TestPropagate::test_near_zero_divisor_hazard,passed
RP-1,tests/unit/test_ranges.py::TestPropagate::test_overflow_flagged_at_configured_format,passed
RP-1,tests/unit/test_ranges.py::TestPropagate::test_per_node_ranges_and_bits,passed
RP-1,tests/unit/test_ranges.py::TestPropagate::test_sqrt_chain,passed
RP-2,tests/unit/test_ranges.py::test_affine_tighter_on_correlated_expression,passed
RP-3,tests/gui/test_ux.py::test_ranges_view_recommend_and_adopt,passed
RP-3,tests/unit/test_ranges.py::test_recommend_format_meets_budget_empirically,passed
RP-4,tests/unit/test_ranges_measured.py::test_measured_range_from_snapshot,passed
RP-4,tests/unit/test_ranges_measured.py::test_three_way_declared_affine_measured_labeled,passed
RP-5,tests/unit/test_ranges_measured.py::test_measured_tightens_recommendation_labeled_observed,passed
RP-5,tests/unit/test_ranges_measured.py::test_static_only_mode_stays_conservative,passed
SD-1,tests/integration/test_streaming_e2e.py::test_fir_with_delay_taps_bit_exact,passed
SL-1,tests/unit/test_svlint.py::test_backend_reported_and_fallback_works,passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_data_reset.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_missing_pipe.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_naming.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_stage_skew.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_suffix.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_unknown.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_valid_chain.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_valid_chain_div.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_valid_unreset.sv],passed
SL-1,tests/unit/test_svlint.py::test_backends_agree_on_corpus[bad_wrong_pipe.sv],passed
SL-1,tests/unit/test_svlint.py::test_pyslang_absence_falls_back,passed
SL-2,tests/unit/test_svlint.py::test_cycle_model_matches_cost_model,passed
SL-2,tests/unit/test_svlint.py::test_delay_match_reports_both_signals_and_fix,passed
SL-2,tests/unit/test_svlint.py::test_known_good_files_are_lint_clean[good_div.sv],passed
SL-2,tests/unit/test_svlint.py::test_known_good_files_are_lint_clean[good_example.sv],passed
SL-2,tests/unit/test_svlint.py::test_known_good_files_are_lint_clean[good_scalar.sv],passed
SL-3,tests/gui/test_views.py::test_linter_view_shows_findings,passed
SL-3,tests/unit/test_svlint.py::test_each_check_is_suppressible,passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_data_reset.sv-reset],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_missing_pipe.sv-delay-match],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_naming.sv-naming],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_stage_skew.sv-delay-match],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_suffix.sv-suffix],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_unknown.sv-unknown-module],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_valid_chain.sv-valid-chain],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_valid_chain_div.sv-valid-chain],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_valid_unreset.sv-reset],passed
SL-3,tests/unit/test_svlint.py::test_known_bad_files_trigger_exactly_their_finding[bad_wrong_pipe.sv-delay-match],passed
SL-4,tests/unit/test_svlint.py::test_findings_crossref_dag_nodes,passed
SL-5,tests/unit/test_svlint_scale.py::test_scale_check_suppressible,passed
SL-5,tests/unit/test_svlint_scale.py::test_scale_continuity_flags_missing_rescale,passed
SL-6,tests/unit/test_svlint_dividers.py::test_divider_count_matches_optimized_dag,passed
SL-6,tests/unit/test_svlint_dividers.py::test_excess_divider_count_flagged,passed
TH-1,tests/unit/test_architecture.py::test_no_hex_colors_outside_theme_files,passed
TH-2,tests/unit/test_theme_tokens.py::test_default_theme_is_gruvbox_dark_soft,passed
TH-3,tests/unit/test_theme_tokens.py::test_bundled_alternates_present_and_valid,passed
TH-3,tests/unit/test_theme_tokens.py::test_malformed_theme_fails_validation,passed
TH-4,tests/gui/test_main_window.py::test_theme_live_switch_no_restart,passed
TH-5,tests/unit/test_theme_tokens.py::test_bundled_alternates_present_and_valid,passed
TH-7,tests/gui/test_typography.py::test_type_scale_hierarchy_applied,passed
TL-1,tests/integration/test_backend_verilator_native.py::test_native_backend_bit_identical_to_cocotb,passed
TL-1,tests/integration/test_cli_cosim.py::test_cli_cosim_native_backend_json,passed
TL-1,tests/unit/test_backend_select.py::test_explicit_backend_wins,passed
TL-2,tests/unit/test_backend_select.py::test_auto_prefers_whatever_is_installed,passed
TL-2,tests/unit/test_svlint_verible.py::test_verible_backend_reported,passed
TL-2,tests/unit/test_svlint_verible.py::test_verible_cst_backend_parses_convention_file,passed
UI-1,tests/gui/test_main_window.py::test_sidebar_has_eight_capabilities_plus_settings,passed
UI-10,tests/gui/test_states.py::test_dse_sweep_shows_live_pareto,passed
UI-10,tests/gui/test_states.py::test_zero_findings_shows_clean_affirmation,passed
UI-11,tests/gui/test_inspector.py::test_inspector_collapsible_and_persisted,passed
UI-2,tests/gui/test_main_window.py::test_format_change_reauditss_live,passed
UI-2,tests/gui/test_main_window.py::test_opening_file_populates_views_and_statusbar,passed
UI-4,tests/gui/test_main_window.py::test_navigation_switches_views,passed
UI-4,tests/gui/test_polish.py::test_command_palette_filters_and_runs,passed
UI-6,tests/gui/test_polish.py::test_findings_table_sorts_filters_and_clicks_through,passed
UI-7,tests/gui/test_inspector.py::test_inspector_not_full_file_dump,passed
UI-7,tests/gui/test_inspector.py::test_node_selection_shows_structured_facts,passed
UI-8,tests/gui/test_sidebar.py::test_active_item_has_accent_indicator,passed
UI-8,tests/gui/test_sidebar.py::test_sidebar_items_have_labels_or_tooltips,passed
UI-9,tests/gui/test_density.py::test_density_persists_across_session,passed
UI-9,tests/gui/test_density.py::test_density_toggle_changes_sizing,passed
VT-1,tests/property/test_dag_differential.py::test_random_dag_codegen_matches_golden,passed
VT-1,tests/property/test_dag_differential.py::test_skipped_without_verilator,passed
VT-2,tests/property/test_dag_differential.py::test_failing_case_shrinks_to_minimal_dag,passed
VX-1,tests/integration/test_engineer_workflow_e2e.py::test_failure_artifacts_and_replay,passed
VZ-1,tests/gui/test_polish.py::test_slack_overlay_toggle,passed
VZ-1,tests/unit/test_viz.py::test_critical_path_and_dividers_marked,passed
VZ-1,tests/unit/test_viz.py::test_timeline_axis_is_cycles,passed
VZ-2,tests/gui/test_main_window.py::test_finding_click_through_selects_node_and_highlights_source,passed
VZ-2a,tests/gui/test_selection_sync.py::test_findings_row_couples_to_timeline_and_source,passed
VZ-3,tests/gui/test_main_window.py::test_visualizer_svg_export,passed
VZ-3,tests/unit/test_viz.py::test_svg_export_uses_palette_tokens_only,passed
VZ-4,tests/gui/test_timeline_edges.py::test_edges_routed_and_faded,passed
VZ-4,tests/gui/test_timeline_edges.py::test_selected_node_edges_brighten,passed
VZ-5,tests/gui/test_timeline_render.py::test_per_op_accent_bar,passed
VZ-5,tests/gui/test_timeline_render.py::test_row_spacing_on_8px_grid,passed
VZ-6,tests/gui/test_timeline_cursor.py::test_cursor_scrubs_and_highlights_column,passed
VZ-7,tests/gui/test_timeline_values.py::test_cursor_shows_golden_and_rtl_values,passed
VZ-7,tests/gui/test_timeline_values.py::test_mismatch_rendered_in_error_token,passed
VZ-8,tests/gui/test_timeline_render.py::test_pipe_delay_registers_rendered_as_bars,passed
WS-1,tests/unit/test_mat_loader.py::test_extracts_constants_and_io_vectors_with_shape,passed
WS-1,tests/unit/test_mat_loader.py::test_handles_v73_hdf5_and_legacy_mat,passed
WS-1,tests/unit/test_mat_loader.py::test_nested_struct_walk_dotted_paths,passed
WS-2,tests/unit/test_sv_struct.py::test_missing_software_pattern_raises,passed
WS-2,tests/unit/test_sv_struct.py::test_software_struct_parsed_to_dotted_paths,passed
WS-3,tests/unit/test_cli.py::test_cli_reconcile,passed
WS-3,tests/unit/test_reconcile.py::test_exact_mode_quantized_bit_compare,passed
WS-3,tests/unit/test_reconcile.py::test_missing_extra_shape_mismatch_reported,passed
WS-3,tests/unit/test_reconcile.py::test_tolerance_mode_decimal_and_lsb,passed
WS-4,tests/unit/test_reconcile.py::test_hand_rounding_changes_quantized_code_flagged,passed
WS-5,tests/integration/test_vector_oracle.py::test_fixedpoint_reference_allows_bitexact_mode,passed
WS-5,tests/integration/test_vector_oracle.py::test_float_reference_reports_within_precision_not_bitexact,passed
WS-5,tests/integration/test_vector_oracle.py::test_io_vectors_drive_cosim_stimulus,passed
WS-5,tests/unit/test_cli.py::test_cli_oracle_float_within_precision,passed
WS-6,tests/gui/test_inspector.py::test_software_field_value_shape_format_shown,passed
WS-6,tests/unit/test_ranges_constants.py::test_struct_constants_become_point_ranges,passed
WS-7,tests/unit/test_snapshot_bridge.py::test_cli_mat2json_and_snapshot_args,passed
WS-7,tests/unit/test_snapshot_bridge.py::test_optimize_uses_snapshot_shapes_and_data,passed
WS-7,tests/unit/test_snapshot_bridge.py::test_snapshot_from_mat_carries_shapes_types_ranges,passed
WS-7,tests/unit/test_snapshot_bridge.py::test_snapshot_json_roundtrip,passed
WS-7,tests/unit/test_snapshot_bridge.py::test_static_snapshot_makes_the_audit_shape_aware,passed
